Variety, Wines, Beverages,Fruits/Vegetables,Breads/Crackers,Condiments/Nuts,Meats/Fish,Wines,Beverages
Appenzeller,,, Cucumbers,Whole grain crackers , Pickles, Prosciutto,,
Appenzeller,,, Melons ,,,Pork,,
Appenzeller,,, Strawberries,,,,,
Appenzeller,,,Radishes,,,,,
Gruyere,,, Apples, Pumpernickel, Mustard, Ham , Fruity white, Cider 
Gruyere,,, Figs, Wheat crackers, Pecans, Poultry, Red, Porter
Gruyere,,, Mushrooms, Whole grain bread, Pickles, Veal,, Stout
Gruyere,,, Pears,,,Pork,, Tomato juice
Gruyere,,, Potato dishes ,,,,,Cranberry juice
Gruyere,,,Red peppers,,,,,
Parmesan,,, Celery,Flatbread, Balsamic vinegar , Beef, Dessert, Ale
Parmesan,,, Figs, Fruit bread, Raisins, Ham , Red,Coffee
Parmesan,,, Grapes, Pumpernickel, Walnuts, Poultry, Sparkling, Espresso
Parmesan,,, Plums,,, Prosciutto,,
Parmesan,,, Tomatoes,,, Salami,,
Parmesan,,, Zucchini dishes ,,,Pork,,
Pecorino Romano,,, Apples, Fruit bread, Fruit butter, Beef, Red, Light beer
Pecorino Romano,,, Bell peppers, Sourdough bread,, Prosciutto, White ,
Pecorino Romano,,, Carrots, Whole grain crackers,, Salami,,
Pecorino Romano,,, Celery,,,,,
Pecorino Romano,,, Melons ,,,,,
Pecorino Romano,,,Plums,,,,,
Romano  ,,, Cucumbers, Flatbread, Olives,Beef,Red, Ale
Romano  ,,, Figs, Fruit bread, Pepperon-cini,Pork,, Cider Apples
Romano  ,,, Pears, Rye bread, Honey , Ham ,,
Romano  ,,, Tomatoes,,, Poultry,,
Romano  ,,, Zucchini dishes,,, Prosciutto,,
Romano  ,,,,,, Salami,,
Havarti,,, Carrots, Melba toast, Almonds,Poultry, Fruity red, Pilsner
Havarti,,, Cucumbers, Rye bread, Chutney, Seafood, Light red, Stout
Havarti,,, Dates, Water crackers, Roasted red peppers , Smoked turkey,,
Havarti,,, Pears,,,,,
Havarti,,, Plums,,,,,
Havarti,,, Zucchini,,,,,
Limburger,,, Apples, Dark bread, Mustard, Cold cuts, Brut sparkling, Bock
Limburger,,, Celery, Rye bread, Pickles, Kippered herring, White, India pale ale
Limburger,,, Onions , Pretzels, Walnuts, Sardines,,
Limburger,,,Pears,,,,,
Monterey Jack,,, Apples,Melba toast, Cashews, Bratwurst, Aged red, Cran-raspberry juice
Monterey Jack,,, Bell peppers, Pretzels, Mustard, Cold cuts, Fruity white, Lambic 
Monterey Jack,,, Cherries Grapes, Pumpernickel, Pickles, Ham ,,Tomato juice
Monterey Jack,,, Mushrooms,, Raisins,Pastrami,,
Monterey Jack,,, Potato dishes ,,,,,
Mozzarella,,, Apples, Dark bread, Chutney, Sausage, Fruity red, Apple juice
Mozzarella,,, Bell peppers, Nut bread, Mustard, Seafood, Fruity white, Cranberry juice
Mozzarella,,, Carrots, Wheat crackers, Pickles, Smoked turkey,, Hot or iced tea
Mozzarella,,, Grapes,, Walnuts,,, Pilsner
Mozzarella,,, Melon ,,,,,
Mozzarella,,,Tomatoes,,,,,
Port Salut,,, Apples, Rye bread, Fruit butter, Beef, Fruity red, Amber ale
Port Salut,,, Carrots, Whole grain bread, Mustard, Ham , Light red,
Port Salut,,, Celery, Pumpernickel, Pecans, Sardines,,
Port Salut,,, Grapes,,,Pork,,
Port Salut,,, Plums,,,,,
Port Salut,,, Zucchini,,,,,
American,,,Apples, Pretzels, Mustard, Ham, Fruity white, Apple juice
American,,,Broccoli, Water crackers, Pickles, Bologna, Light red, White grape juice 
American,,,Carrots, Wheat crackers, Raisins, Casseroles,,
American,,,Celery,,,,,
American,,,Grapes,,,,,
American,,,Pears,,,,,
Baby Swiss,,, Apples,Fruit bread, Cashews, Ham, Aged red, Apple juice
Baby Swiss,,, Celery,Water crackers, Fruit butter, Chicken , Fruity white, Lager Stout
Baby Swiss,,, Grapes,Wheat crackers, Mustard,Corned beef,,
Baby Swiss,,, Mushrooms,,,,,
Baby Swiss,,, Pears,,,,,
Baby Swiss,,, Potato dishes ,,,,,
Cheddar,,, Apples,Dark bread, Cashews, Beef, Dessert wines, Pale ale
Cheddar,,, Apricots (fresh/dried),Melba toast, Chutney, Bologna, Red, Sparkling cider
Cheddar,,, Broccoli,Pretzels, Mustard, Ham ,, Stout
Cheddar,,, Cherries (fresh/dried),,,Smoked  turkey,,
Cheddar,,, Red peppers,,,Summer sausage ,,
Cheddar,,,Tomatoes,,,,,
Colby/Colby Jack,,,Apples,Melba toast, Salsa, Beef,Blush ,Lager  
Colby/Colby Jack,,,Grapes, Water crackers, Almonds, Bratwurst,Red,Pilsner 
Colby/Colby Jack,,,Red peppers, Wheat crackers, Hot sweet mustard, Ham ,,White grapefruit juice
Colby/Colby Jack,,,Strawberries,,, Summer sausage,,
Colby/Colby Jack,,,Tomatoes,,,Pork,,
Colby/Colby Jack,,,Melons ,,,,,
,,,Onions,,,,,
Brie/Camembert,,, Apples, Crusty bread, Almonds, Beef, Fruity red, Cider 
Brie/Camembert,,, Carrots, Melba toast, Chutney, Lamb , Sparkling,White grape juice 
Brie/Camembert,,, Dried fruit, Water table crackers, Sweet pickles, Seafood,,Lambic-style  beer 
Brie/Camembert,,, Mushrooms,,,Poultry,,
Brie/Camembert,,, Pears,,,,,
Brie/Camembert,,, Tomatoes,,,,,
Chevre,,, Berries, French  baguettes,Sun-dried tomatoes,Chicken , White, White grape juice
Chevre,,, Carrots, Herb crackers, Almonds,Smoked meats,,
Chevre,,, Cucumbers, Sourdough, Marmalade ,Fish,,
Chevre,,, Dried apricots,,,,,
Chevre,,, Dried  cranberries,,,,,
Chevre,,, Tomatoes,,,,,
Feta,,,Mangos, Breadsticks,Olives,Poultry, Dry white, Pilsner-style 
Feta,,,Cucumbers, Pita, Honey , Lamb , Light red,Lemonade
Feta,,,Figs, Pumpernickel, Pine nuts, Seafood,,beer 
Feta,,,Green bean dishes,,,,,
Feta,,,Melons,,,,,
Feta,,,Tomatoes,,,,,
Mascarpone,,,Berries, Ladyfingers, Chocolate, Poultry, Fruity red,Cider
Mascarpone,,,Carrots, Shortbread, Pecans, Seafood, Sparkling,Hot  chocolate
Mascarpone,,,Celery, Vanilla wafers, Caramel sauce,,, Sparkling water
Mascarpone,,,Cherries ,,,,,
Mascarpone,,,Strawberries,,,,,
Queso Fresco,,,Black beans , Cuban bread,Olives, Pork, White, Margaritas
Queso Fresco,,,Citrus fruits, Pita, Honey , Turkey, Sangria,
Queso Fresco,,,Avocados, Tortillas, Salsa,,,
Queso Fresco,,,Papayas,,,,,
Queso Fresco,,,  Mangos ,,,,,
Queso Fresco,,, Tomatoes,,,,,
Edam (mild),,, Carrots, Dark bread, Almonds, Beef, Fruity red, Lager 
Edam (mild),,, Celery, Flatbread, Chutney, Cold cuts, Fruity white,Stout
Edam (mild),,, Cucumbers, Rye bread, Mustard, Ham ,,
Edam (mild),,, Dried  cranberries, Wheat crackers,, Prosciutto,,
Edam (mild),,, Peaches,,,Pork,,
Edam (mild),,, Pears,,,,,
Emmental,,, Apples, Melba toast, Dates, Cold cuts, Fruity red, Cran-raspberry juice 
Emmental,,, Bell peppers, Pretzels, Mustard, Corned beef,, Lambic
Emmental,,, Cherries Grapes, Pumpernickel, Pickles, Ham ,, Pale ale
Emmental,,, Mushrooms,,, Prosciutto,,
Emmental,,, Potato dishes,,,Pastrami,,
Gouda (mild),,, Apricots (fresh/dried),Flatbread, Almonds, Beef, Fruity red, Cranberry juice
Gouda (mild),,, Carrots, Rye bread, Mustard, Cold cuts, Fruity white, Lager 
Gouda (mild),,, Celery, Wheat crackers, Pickles, Ham ,, Pilsner
Gouda (mild),,, Cucumbers, Whole wheat bread, Raisins, Prosciutto,, Stout
Gouda (mild),,, Grapes,,,Pork,,Lemonade
Gouda (mild),,, Melon ,,,,,
Muenster,,, Apples, Dark bread, Chutney, Sausage, Fruity white, Cider   
Muenster,,, Bell peppers, Nut bread, Mustard, Seafood, Light red,Lager
Muenster,,, Grapes, Wheat crackers, Pickles, Smoked turkey, Spicy white,Pilsner
Muenster,,, Pears,, Walnuts,,,
Muenster,,, Radishes,,,,,
Muenster,,, Spinach dishes ,,,,,
Muenster,,,Tomatoes, Breadsticks, Pesto, Beef,,
Provolone,,, Bell peppers, Flatbread, Mustard, Cured meat, Fruity red, Ale
Provolone,,, Figs, Wheat crackers, Walnuts, Ham , Light red,Tomato juice
Provolone,,, Grapes,,, Prosciutto, Spicy white, Lager 
Provolone,,, Pears,,,Pork,,
Provolone,,, Tomatoes,,,,,
Swiss,,, Apples,Melba toast, Cashews, Bratwurst, Fruity white, Cran-raspberry Juice 
Swiss,,, Bell peppers, Pretzels, Mustard, Cold cuts, Aged red, Lambic
Swiss,,, Cherries , Pumpernickel, Pickles, Ham ,, Tomato juice
Swiss,,, Mushrooms,, Raisins,Pastrami,,
Swiss,,, Potato dishes ,,,,,
Swiss,,,Grapes,,,,,
